Customer_ID,Income,Credit_Score,Loan_Amount,Employment_Type,Loan_Status
C01,45000,720,200000,Salaried,Approved
C02,25000,580,150000,Self-employed,Rejected
C03,60000,750,300000,Salaried,Approved
C04,22000,560,120000,Unemployed,Rejected
C05,50000,710,250000,Salaried,Approved
C06,30000,600,180000,Self-employed,Rejected
C07,70000,780,350000,Salaried,Approved
C08,28000,590,160000,Self-employed,Rejected
C09,55000,730,270000,Salaried,Approved
C10,24000,570,130000,Unemployed,Rejected
C11,65000,760,320000,Salaried,Approved
C12,35000,620,200000,Self-employed,Rejected
C13,48000,700,240000,Salaried,Approved
C14,26000,585,140000,Unemployed,Rejected
C15,75000,790,400000,Salaried,Approved
C16,32000,610,190000,Self-employed,Rejected
C17,52000,725,260000,Salaried,Approved
C18,27000,575,150000,Self-employed,Rejected
C19,68000,770,330000,Salaried,Approved
C20,23000,555,125000,Unemployed,Rejected
