Product_ID,Category,Price,Quantity_Sold,Discount,Revenue
PR01,Grocery,50,20,5,1000
PR02,Snacks,30,35,3,1050
PR03,Dairy,45,18,2,810
PR04,Fruits,60,25,5,1500
PR05,Vegetables,40,30,4,1200
PR06,Grocery,80,15,6,1200
PR07,Snacks,25,40,3,1000
PR08,Dairy,55,16,2,880
PR09,Fruits,70,22,5,1540
PR10,Vegetables,35,28,4,980
PR11,Grocery,90,12,6,1080
PR12,Snacks,20,45,2,900
PR13,Dairy,65,14,3,910
PR14,Fruits,75,20,5,1500
PR15,Vegetables,45,26,4,1170
PR16,Grocery,100,10,7,1000
PR17,Snacks,35,32,3,1120
PR18,Dairy,50,19,2,950
PR19,Fruits,80,18,6,1440
PR20,Vegetables,30,35,3,1050
